Song,Artist,Genres,Album,Release_Date,Duration_ms,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
100 Grandkids,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",GO:OD AM,2015-09-18,278506,65,0.735,0.749,10,-3.766,0,0.0874,0.371,0.0,0.47,0.373,93.718
10:35,Tiësto,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",10:35,2022-11-03,172252,89,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003
"1, 2 Many",Luke Combs,"['contemporary country', 'country']",What You See Is What You Get,2019-11-08,180906,73,0.54,0.821,6,-3.789,1,0.0873,0.0397,0.0,0.423,0.685,148.798
1901,Phoenix,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais']",Wolfgang Amadeus Phoenix,2009-05-25,193106,6,0.591,0.831,0,-5.647,1,0.0415,0.0605,4.67e-05,0.19,0.705,144.084
2055,Sleepy Hallow,"['brooklyn drill', 'nyc rap']",Still Sleep?,2021-06-02,123986,82,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511
22,Taylor Swift,['pop'],Red (Big Machine Radio Release Special),2012-10-22,232120,71,0.661,0.729,7,-6.561,1,0.0376,0.00215,0.0013,0.0477,0.668,103.987
24K Magic,Bruno Mars,"['dance pop', 'pop']",24K Magic,2016-11-17,225983,80,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97
7 Summers,Morgan Wallen,['contemporary country'],Dangerous: The Double Album,2021-01-08,210506,78,0.466,0.786,0,-5.13,1,0.0328,0.417,6.1e-05,0.125,0.571,203.903
7 Years,Lukas Graham,"['danish pop', 'scandipop']",Lukas Graham,2016-04-01,237300,81,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992
865,Morgan Wallen,['contemporary country'],Dangerous: The Double Album,2021-01-08,190680,73,0.532,0.584,8,-5.254,1,0.0248,0.723,0.0,0.101,0.367,88.003
