Song,Artist,sentiment_category
100 Grandkids,Mac Miller,positive
10:35,Tiësto,positive
"1, 2 Many",Luke Combs,positive
1901,Phoenix,positive
2055,Sleepy Hallow,positive
22,Taylor Swift,positive
24K Magic,Bruno Mars,positive
7 Summers,Morgan Wallen,negative
7 Years,Lukas Graham,positive
865,Morgan Wallen,positive
90's Country,Walker Hayes,positive
AA,Walker Hayes,positive
abcdefu (angrier),GAYLE,negative
Adam's Song,blink-182,negative
Ain’t That Some,Morgan Wallen,negative
Alive,Krewella,positive
All About It (feat. Ed Sheeran),Hoodie Allen,positive
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,positive
All Night,Icona Pop,positive
All Night Longer REMIX (feat. B.o.B),Sammy Adams,negative
All Of The Lights,Kanye West,negative
All On Me,Devin Dawson,positive
All Summer Long,Kid Rock,positive
All The Right Moves,OneRepublic,positive
All The Small Things,blink-182,positive
All Time Low,Jon Bellion,positive
All To Myself,Dan + Shay,negative
All We Know,The Chainsmokers,positive
Almost Maybes,Jordan Davis,positive
Alone Together,Fall Out Boy,positive
American Country Love Song,Jake Owen,positive
Animals,Nickelback,positive
AOK,Tai Verdes,negative
As Good As I Once Was,Toby Keith,positive
Ashes,Stellar,positive
Asking for It,Shinedown,negative
Astronaut In The Ocean,Masked Wolf,negative
Attention,Charlie Puth,negative
Avalanche,WALK THE MOON,positive
Avalanche,Migos,negative
Baba O'Riley,The Who,positive
Back to Life (Birthdae),ScurtDae,positive
Backwood Bump,Waterloo Revival,positive
Bad At Love,Halsey,positive
Bad Blood,Taylor Swift,negative
Bad Boy,Yung Bae,positive
"Bad Case Of Loving You (Doctor, Doctor)",Robert Palmer,negative
Bad Company,Five Finger Death Punch,positive
Bad Girlfriend,Theory of a Deadman,negative
Bad Habits,Ed Sheeran,positive
Bad Moon Rising,Creedence Clearwater Revival,positive
Bad Mother F*cker,Machine Gun Kelly,negative
Bad Things,Machine Gun Kelly,positive
Bamboleo,Gipsy Kings,negative
Bandaid On A Bullet Hole,Morgan Wallen,positive
Bang!,AJR,positive
Bangarang (feat. Sirah),Skrillex,negative
Bang Bang,Jessie J,negative
Bawitdaba,Kid Rock,positive
Beachin',Jake Owen,positive
Beautiful Crazy,Luke Combs,positive
Beer Can,Luke Combs,negative
Beer Never Broke My Heart,Luke Combs,positive
Beggin',Måneskin,positive
Be Legendary,Pop Evil,positive
Believer,Imagine Dragons,positive
Best Shot,Jimmie Allen,positive
Better Days (NEIKED x Mae Muller x Polo G),NEIKED,negative
Better Together,Luke Combs,positive
"Big, Big Plans",Chris Lane,positive
Bitch Came Back,Theory of a Deadman,negative
Black,Dierks Bentley,positive
Black,Pearl Jam,positive
Black Out Days,Phantogram,positive
Black Out Days - Future Islands Remix,Phantogram,negative
Black Skinhead,Kanye West,negative
Blame (feat. John Newman),Calvin Harris,positive
Blank Space,Taylor Swift,positive
Blank Space,I Prevail,positive
Bleach (On the Rocks),John Harvie,negative
Bleed It Out,Linkin Park,positive
Blinding Lights,The Weeknd,negative
Blow,Kesha,negative
Blow Your Mind (Mwah),Dua Lipa,negative
Blue Ain't Your Color,Keith Urban,positive
Bodies,Drowning Pool,negative
Body Like A Back Road,Sam Hunt,negative
Bones,Imagine Dragons,positive
Bonfire,Childish Gambino,negative
Bonfire,Knife Party,positive
Booyah,Showtek,negative
The Booze Cruise,Blackjack Billy,negative
Bored To Death,blink-182,positive
The Box,Roddy Ricch,negative
Boyfriend,Dove Cameron,positive
Brand New,Ben Rector,negative
